Summary,Priority,Severity
Insufficient error reporting in JavaApplicationLauncher,P1,critical
JDI: VirtualMachine.classesByName() fails for arrays,P1,normal
Breakpoint Properties Dialog,P1,enhancement
No stack frames shown after breakpoint hit,P1,critical
Attempts to set breakpoint on unsaved resource fails,P1,normal
Timeout when launching,P1,critical
Evaluation failed message for deprecated method,P1,normal
Missing mnemonics in Debug preferences,P1,normal
Efficiency - use computeStackFrames internally,P1,normal
VMPreferencePage - CheckboxTableViewer has no columns anymore,P1,blocker
Drop frame above native frame does not work on 1.4,P1,normal
Method ID of 0 is valid JDWP,P1,normal
Class cast exception during hotswap,P1,critical
Use new workbench API for openning perspective,P1,normal
Java launch config should support classpath/bootpath,P1,normal
Debug With menu launches incorrect program (not finding selection),P1,normal
NPE shutting down in abstract debug view 'save state',P1,normal
Run to line is broken,P1,normal
debugger keyboard shortcuts do not work in 20020109,P1,normal
Terminate and remove fails to remove when timeouts occur,P1,normal
.metadata launch files not in correct location,P1,normal
NPE out of AbstractDebugEventHandler on shutdown,P1,normal
Widget is disposed error relaunching,P1,normal
Terminate & Remove disabled,P1,normal
"Smart frame dropping is slow, and no busy cursor",P1,normal
No failure message when frame dropping failed after HotSwap,P1,normal
Debug view actions do not update after evaluation completes,P1,normal
NPE out of ControlActionDelegate,P1,critical
Launch preferences page problems,P1,normal
"internal error occured, if open the menu ""Debug -> Debug History""",P1,critical
Debugger Source Lookup dialog : minor fixes,P1,normal
NPE from HCR Manager,P1,critical
Stepping in obsolete methods should be disabled,P1,normal
Hit count ignored on breakpoints,P1,normal
Debug Perspective is not automatically select the servlet thread,P1,normal
Variables view should scroll to display new variables,P1,enhancement
Pattern breakpoints show as <unknown>,P1,normal
Invalid thread access running test suite,P1,normal
Attempting to modify locked resource tree in BreakpointManager,P1,normal
NPE out of the LaunchView on shutdown with running target,P1,normal
JavaDebugOptionsManager attempting to modify resource in resource change callback,P1,normal
redundant menu entry in variables view,P1,normal
Terminated targets not updating,P1,critical
ConcurrentModificationException in JDIDebugTarget#canSuspend(),P1,critical
IllegalArgumentException out of Console,P1,critical
Method breakpoints enabled for source methods,P1,critical
Remove All action activation in ExpressionsView,P1,normal
ImageDescriptorRegistry must empty hash map in dispose,P1,normal
Eclipse not aware of launched JVM (JRockit 3.1.3),P1,critical
breakpoint change mechanism,P1,normal
Single click launching should not be the default,P1,normal
ClassPrepare events swamping system,P1,major
Rendering of changed variables,P1,normal
ClassCastException in LaunchConfigurationHistoryElement,P1,critical
inspect/display to not work in snippet editor,P1,critical
NPE in snippet editor,P1,normal
NPE in launch view,P1,normal
Copy value in variables view should work with CTRL-C,P1,normal
Use new workbench selection service,P1,normal
Breakpoint#ensureMarker failing,P1,normal
utilize classpath variable initializers,P1,normal
Debugging tries to show itself in resources perspective(?),P1,normal
Java launch config: main type checks are too constraining,P1,normal
Use new workbench API  for show perspective,P1,normal
Launch configuration enviroment variables added with no action from user,P1,normal
JDIFieldVariable.setValue(IValue) fails for static fields,P1,normal
Deadlock on startup processing breakpoints,P1,critical
duplicate shared config after close & restart,P1,normal
Launch config name collission,P1,normal
NPE in AST eval,P1,critical
AST Eval engine API not fully implemented,P1,normal
copyright statements incorrect,P1,normal
Eval with error causes eval timeout,P1,critical
String.startsWith(String) creates bad compilation error,P1,normal
Launcher - listed name does not match given name,P1,normal
NPE in launch configs,P1,normal
New Configuration menu empty,P1,normal
Exception evaluating method with array type parameter,P1,normal
menu reorganization,P1,normal
NPE creating Java Project when running Runtime Workbench,P1,normal
Attempting to create breakpoints while resource tree locked,P1,normal
ClassNotPreparedException from uninitialized inner types,P1,normal
Pressing Apply makes tabs disappear,P1,normal
Disallow evaluations that require local type signatures,P1,normal
ClassCastException with instanceof conditional breakpoint,P1,normal
NPE evaluating in local type in field declaration,P1,normal
NPE launching target eclipse,P1,normal
"Rename Debug menu to ""Run""",P1,normal
"Support ""default JRE""",P1,normal
Drop to Frame not updating UI/stack frames correctly,P1,normal
Debugger can modify resources during POST_AUTO_BUILD resource changed notification,P1,normal
LaunchView changes required from platform ui changes,P1,normal
NativeMethodException from line location request,P1,normal
Debug Perspective leaks actions,P1,normal
Code assist does not work in expression view,P1,normal
NPE opening java perspective.,P1,critical
NPE deleting project with shared config,P1,normal
ResourceException when closed projects in workspace,P1,normal
Launch history maintains duplicate entries,P1,normal
Run menu history menus not updated after organize favorites,P1,normal
InvalidStackFrameException(s) after a StepOver,P1,normal
"Wrong ""this"" context in evaluation & expression view",P1,normal
Change provider name,P1,normal
Internal error in Lauch Configurations dialog.,P1,blocker
Inspect is broken,P1,critical
NPE during launching after removing the launch info,P1,critical
Source editor not given focus on suspend,P1,normal
LaunchConfigurationDialog etc leakage when last launched is Runtime,P1,normal
Disconnect debug session crashes WebSphere,P1,critical
Large bug in BreakpointManager,P1,blocker
IBM 1.4 VMs don't have rt.jar,P1,normal
[ExternalTools] ArrayIndexOutOfBounds exception when running ant in a build,P1,normal
Code assist in conditional expression,P1,normal
NPE - variable details stop showing,P1,normal
LaunchConfigurationWorkingSetPage.setSelection should work without container being set,P1,normal
Problems with non-externalized String warnings,P1,normal
LaunchingPlugin.buildProjects,P1,normal
Project properties not set properly if no arguments passed,P1,normal
ExternalTools antrunner.jar is still in the HEAD stream,P1,major
Can we persist the java version for a StandardVMType?,P1,enhancement
Ant runner sets basedir incorrectly,P1,normal
The watch expressions don't persist across workbench invocations,P1,critical
Cannot add an Ant External Tool Builder,P1,major
Ext tool builders have wrong icon and NPE'd,P1,critical
Cannot add new ext tool builer,P1,critical
ClassNotFoundException: TaskLineTracker,P1,critical
Invalid thread access during JDT Debug UI plugin startup,P1,major
NPE attempting to create watch expression,P1,critical
Add Ant task error in preferences in 3.0M5,P1,critical
Nothing added to launch history,P1,major
Review LaunchViewContextListener multi-window behavior,P1,normal
Register view shows the same as Variables view in CVS HEAD,P1,major
top frame not selected when monitor added to stack,P1,critical
[launching] ContextLaunchingResourceManager slows down structured selection changes and part activations,P1,critical
JREContainerInitializer average initialization time,P1,normal
Use the new ClasspathContainerInitializer API for the JRE,P1,major
"empty 'Plug-in Dependencies' after checking out ""org.eclipse.jdt.apt.core""",P1,critical
Run in Package dialog should select the current context (1GE32AE),P1,minor
Debugger VM launching error never displayed (1GETDGZ),P1,normal
README: packages appear when doing eval (1GEYFPN),P1,critical
Do not prompt for source when no source attachment,P1,normal
Console buffer size (1GKKAKB),P1,enhancement
Can't set scrapbook package to package in prereq project (1GKZ25D),P1,normal
Display in snippet opens temporary file (1GL0HES),P1,minor
Console misses style range for quick output (1GL4R1L),P1,critical
1.0 -- Casting problem in RunToLineAction class,P1,critical
Debugger silently fails to prompt for source,P1,normal
Walkback when workspace opened,P1,normal
"Evaluation is performed in wrong ""receiver"" context",P1,normal
NPE launching when Java build path refs a missing project,P1,normal
Unable to create display view,P1,critical
NPE stopping Timer,P1,critical
NPE closing inspector,P1,normal
Plugin version numbers incorrect,P1,normal
src.jar not found 1.4 by default,P1,normal
Internal error while doing evaluation,P1,critical
NPE in DebugContentProvider,P1,critical
stack frame unavailable running code snippet.,P1,normal
JDIDebugTarget still registered with JavaHCR manager after terminate and remove,P1,critical
Fatal error in JDWP,P1,critical
Turning filters on/off makes Eclipse unresponsive,P1,critical
ClassCastExeption running Eclipse on Linux,P1,critical
Display action linked to editor when focus in Display view,P1,critical
Hot keys do not work for inspect/display in scrapbook,P1,critical
Illegal references to Breakpoints view,P1,normal
Toggling ShowDetailPaneAction sets focus to the launch view,P1,normal
Unbound cache in Expression view content provider,P1,normal
Console does not show output from scrapbook,P1,normal
Drop to frame is always disabled,P1,critical
JDI timeout exception in debugger,P1,normal
Internal VMDisconnected trying to delete event requests after VM is gone,P1,normal
Breakpoint creation API should not use java elements,P1,normal
Feature: support suspend/resume of VM,P1,normal
Feature: hidden breakpoints,P1,normal
HotSwap: Two error dialogs redefining class during debug on 1.4,P1,normal
NPE after suspending VM attempting to step on system thread,P1,normal
Threads showing as suspended when not -- multithreaded app,P1,normal
API - suspend on uncaught exception,P1,normal
API - CHANGE event should be better specified,P1,normal
NPE using launch configurations,P1,normal
NPE in preference page,P1,critical
NPE in LaunchConfigurationLabelDecorator.isLaunchConfigFile,P1,normal
API - java launch configs should be headless,P1,normal
"Debug event handlers performing runnables after ""dispose""",P1,normal
Feature: dynamic pattern breakpoint,P1,normal
Invalid thread access,P1,normal
JavaDebugOptionsManager startup loading breakpoints during resource changed,P1,critical
<Not responding> stack frame after suspending VM,P1,normal
AssertionFailedException attempting to draw overlays for breakpoints,P1,normal
NPE out of LaunchManagerVisitor creating a launch configuration for callback,P1,critical
NPE in LaunchConfigurationTypePropertyPage,P1,critical
NPE in JavaRuntime.getDefaultVMInstall,P1,critical
exception in compiler pref page,P1,critical
Can't rebuild all - never returns,P1,blocker
Launch Config Flicker,P1,normal
Unable to enter & save classpath entry,P1,normal
Launch config: pressing save returns to first tab,P1,normal
NPE on shutdown in BreakpointsVIew,P1,critical
Launch config arguments inserted prior to class on command line,P1,normal
Index out of bounds in JavaEnvironmentTab,P1,normal
Debug into non-JavaBuildPath no longer works.,P1,critical
Launch configuration wizard not honoring selection,P1,normal
NPE pressing apply button on launch configuration with no name,P1,normal
NPE pressing apply button twice,P1,normal
"New, delete, copy of Launch configurations remain disabled",P1,normal
Delete and Copy enabled for Launch configuration type,P1,normal
Exception applying changes to Launch Configuration,P1,critical
Launch configurations: Edit button enabled when no environment var to edit,P1,normal
NPE in JavaDebugOptionsManager if source name is null,P1,normal
Scoping JavaExceptionBreakpoints not working correctly,P1,normal
Double save confirmation on a launch configuration,P1,normal
Launch configurations prompting for save when no changes,P1,normal
Deleted configs remain in favorite list,P1,normal
Resource tree locked,P1,critical
Need replacement source locator API,P1,normal
Feature:  support WAS 5.0 JSP debugging,P1,major
Debug event sets,P1,normal
Launch creation/lifecycle,P1,normal
NPE attempting to create Remote Java Application configuration,P1,normal
NPE when i switch to debug perspective,P1,critical
Debug event filters should use event sets,P1,normal
NPE in Add Watchpoint,P1,normal
No evaluation imports for binary types with attached source,P1,normal
No console output in Java Persp.,P1,normal
SAXParseExceptions in launch config edit (empty .launch file),P1,normal
Tight loop with conditional breakpoint locks up UI,P1,normal
Error evaluating with no public class,P1,normal
NPE on evaluation of array.length,P1,normal
Deadlock exiting workspace,P1,normal
Rapid stepping & toString,P1,normal
Second target incorrectly breaks on conditional,P1,normal
NPE attempting to launch,P1,blocker
NPE in JavaRuntime.detectVMConfiguration,P1,normal
Scrap book does not work,P1,normal
NPE out of StandardSourcePathProvider,P1,normal
Over zealous error logging when config has been deleted,P1,normal
ClassCastException out of Launch history preference page,P1,critical
Sharing JRE in buildpath - errors when JRE does not exist,P1,normal
IncompatibleThreadStateException attempting to pause remote launch,P1,normal
Two huge bugs in Launch class,P1,critical
Should not assume type of PropertyChangeEvent values,P1,critical
Debug Hover fix,P1,normal
Scrapbook doesn't launch,P1,major
Ctrl-Space is not working in the Scrapbook,P1,normal
Variable view show old instance,P1,normal
Unable to launch on J9,P1,critical
Two dialogs define same image,P1,major
Debug Launch configuration does not expand classpath variables properly,P1,critical
UI locks up toggling on the variable filters,P1,blocker
Detected JRE not set correctly,P1,blocker
Error while creating scrapbook page (spellcheck?),P1,normal
Cannot run a build.xml from a non-Java project,P1,major
[Coolbar] [Workbench] Toolbar flash selecting stack frames,P1,normal
function keys not working,P1,normal
NPE when renaming project,P1,major
Inefficient loop rendering styled text,P1,major
[assist] provide parameter hints for template instantiations,P1,normal
[assist] provide all elements that are visible,P1,normal
Update EMF base pre-req for Juno SR1 to R201209110500,P1,normal
Disconnect old milestone repos for M6,P1,normal
org.eclipse.sdk.examples bundle has empty plugin.xml and no localization,P1,major
[CBI] Issues with org.eclipse.osgi (3.9?) and org.eclipse.equinox.ip in N builds,P1,blocker
Update EMF contribution URL to their Juno SR2 version,P1,normal
"[CBI] Our repo is missing ""o.e.jdt.core.compiler.batch""",P1,major
bad md5 value for org.eclipse.platform.doc.isv_4.4.0.v20140604-2138.jar in Luna RC4 repository,P1,normal
change notice.html in root of eclipse installs,P1,critical
duplicate swt.jar in fragment root directory,P1,normal
legal files are not accessible,P1,normal
[Perspectives] (regression) Custom perspectives disappear after shutdown/restart,P1,critical
OpenFromClipboardTests causes NPEs and test failures,P1,major
Review performance results,P1,normal
NPE populating BasicLauncher tab,P1,normal
[Intro] Circles theme doesn't look right in standby mode,P1,normal
NPE in the nls tool - preview page,P1,normal
Refactoring preview screen all over the srceen,P1,normal
NPE in Self Encapsulate Field,P1,normal
NPE in refactoring preview page (Pull up),P1,normal
Refactor prompted to save same editor twice,P1,major
Missing icon after renaming a type in the Java Browsing perspective,P1,normal
Should not assume type of PropertyChangeEvent values,P1,critical
Missing string in Members view,P1,major
editor: context menu slow on large files,P1,critical
Exception launching the Eclipse Platform,P1,blocker
TVT2:  truncated english text in decorators prefs for workbench,P1,normal
"[DataBinding] We always call addPropertyChangeListener(pcl) even when we could/should call addPropertyChangeListener(""propertyName"", pcl)",P1,critical
[MPE] [Text Editor] Text editor should not register global actions with the keybinding service,P1,normal
[MPE] Allow bookmarks and tasks in plugin.xml source,P1,normal
[KeyBindings] Dialogs do not support key bindings,P1,enhancement
[KeyBindings] Delete selection in key entry widget,P1,normal
[KeyBindings] Can't assign Esc Backspace,P1,normal
[KeyBindings] Entering key sequence appends to previous by default,P1,normal
"[KeyBindings] Alt+[A-Z] do not work to change view, editor or perspective",P1,minor
[Workbench] Remove dependencies on Xerces,P1,normal
[KeyBindings] Stop using native accelerators,P1,normal
[KeyBindings] CapsLock == R ???,P1,normal
[KeyBindings] F5 (for refresh) doesn't work in the navigator view when selection a Java project,P1,normal
[KeyBindings] Emacs mode Content-assist key  broken in M5,P1,normal
[KeyBindings] help with multi-stroke keyboard shortcuts pops up unusable window,P1,normal
Provide an Emacs derivative of the new key configuration,P1,enhancement
[KeyBindings] Keyboard accessibility on assistant dialog,P1,normal
[KeyBindings] Provide availableInDialog property on key bindings,P1,enhancement
[KeyBindings] Keybinding reassignments,P1,normal
[KeyBindings] Resetting to defaults on the keys preference page doesn't set the key configuration,P1,minor
[ActionSets] Key bindings not working when Eclipse first opened,P1,critical
[CommandMgmt] Source menu entries disabled,P1,normal
[KeyBindings] Multi-stroke Key help delay must be >= 1,P1,normal
[EditorMgmt] Leak when closing last editor,P1,critical
[KeyBindings] Keys preference page has deep grooves,P1,trivial
Triple-stroke key bindings don't play nice with key assistant shell,P1,normal
[KeyBindings] Space now erroneously runs Completion,P1,normal
[KeyBindings] Multi-stroke keyboard shortcut help window doesn't go away,P1,major
[CoolBar] regression: Contributions being disposed in editor toolbar,P1,critical
[KeyBindings] Keybinding Service consumes keystrokes for unregistered commands,P1,major
[KeyBindings] Ctrl-S ceased working after a while,P1,critical
[KeyBindings] Edit in place in the navigator does not support the delete key,P1,normal
[KeyBindings]  Content assist bindings are still in UI plugin,P1,normal
[KeyBindings] pressing Ctrl-F6 again closes editor list,P1,critical
[KeyBindings] Delete key doesn't work in single-line Text,P1,major
[KeyBindings] Delete key does not work in dialogs,P1,critical
[KeyBindings] Contexts/scopes don't appear in keys preference page,P1,major
[KeyBindings] short cut key for prefs is same as next annotation,P1,normal
Emacs key binding does not work in Java editor,P1,major
[KeyBindings] Can't unbind key on keys preference page,P1,normal
[KeyBindings] StyledText gets key event when pressing Ctrl+O,P1,critical
[EditorMgmt] NullPointerException in EditorWorkbook.createControl,P1,major
[EditorMgmt] NullPointerException in EditorPresentation when getTitleToolTip returns null,P1,normal
[Commands] [Javadoc] org.eclipse.ui.commands issues,P1,normal
[Contexts] [Javadoc]  org.eclipse.ui.contexts issues,P1,normal
[Keybindings] [Javadoc] Keybindings issues,P1,normal
[Keybindings] [Javadoc] Locale reference in accelerator set doc incomplete,P1,normal
[Commands] [Javadoc] Issues with Commands extension point,P1,normal
[Contexts] [Javadoc]  org.eclipse.ui.contexts extensio points issues,P1,normal
[KeyBindings] Ctrl+W in emacs mode is also bound to close,P1,normal
[Contributions] [Commands] [Javadoc] API issues at the boundary between actions and commands,P1,normal
[KeyBindings] Key bindings not updated properly in PDE editors,P1,blocker
[KeyBindings] Delete key does not work in Combo boxes when the Combo box is in a Toolbar,P1,major
[Commands] Ctrl+S does not work,P1,major
"Restore ""scope"" support to the commands extension point",P1,major
[Commands] Commands leaking instances of WorkbenchWindow,P1,normal
[Actions] ReferenceCleanerThread in ActionContributionItem cause application can not exit normally.,P1,normal
[KeyBindings] [ViewMgmt] Key bindings do not work in detached views,P1,major
[Workbench] Many objects leaked for each window opened/closed,P1,major
[KeyBindings] TVT3.0: Error message on console during startup,P1,major
MessageDialogWithToggle returns wrong value for yes_to_all,P1,normal
[Commands] R3.0 RC1 Closing Eclipse exceptions,P1,normal
[KeyBindings] multi-stroke keyboard shortcut popup swallows keys,P1,major
[Presentations] The 'Save All' command has no effect,P1,major
[ActionSets] Actions associated with views not disposed,P1,major
"[Keybindings] Wrong behaviour when triggering Code Assist in ""Rename Field""-Dialog",P1,major
[Contributions] Allow contributions based on active editor input,P1,enhancement
"[Commands] ctrl+c, ctrl+v, ctrl+x accelerators dont work in some scenarios",P1,major
infinitely prompty dialog,P1,critical
[KeyBindings] Allow to see actual key bindings,P1,enhancement
[Keys] Indicate sort order on Keys > View page,P1,enhancement
"[ViewMgmt] Empty variables view, inspect disabled",P1,major
[Commands] ActionContributionItem isvisible should issue warning when action is not visible,P1,minor
[RCP] [KeyBindings] activeKeyConfiguration extension point doesn't work,P1,normal
"[KeyBindings] preference page: extends ""Default "" has an extra space",P1,trivial
[KeyBindings] Chose key to edit from View pane,P1,enhancement
[KeyBindings] Quick Fix keybinding support for non Java Editor,P1,enhancement
[Commands] Select All accelerator is available on a Tree control hosted in a TreeViewer but does not send SelectionChanged events,P1,normal
[Contexts] [Commands] EnabledSubmission for activePartId not working,P1,major
[KeyBindings] Esc doesn't close dialogs,P1,major
[Commands] [Contexts] [Contributions] [KeyBindings] performance: Many duplicate strings,P1,normal
[KeyBindings] performance: Too many MissingResourceException from NativeKeyFormatter,P1,normal
[Contexts] events: ContextManagerEvents are no longer fired by the workbench context manager on enablement changes,P1,normal
[ActivityMgmt] Capability preference page missing,P1,blocker
[KeyBindings] registry: NPE when starting Eclipse 20050301-1230`,P1,critical
[Commands] registry: NPE on start-up,P1,blocker
[Contributions] Can't filter out actions from popup menu that are contributed by other plugins,P1,major
[Commands] performance: 50% of perspective switch in ParameterizedCommand.equals(),P1,major
[Workbench] IWorkbench should not extend the internal IServiceProvider,P1,normal
"[Commands] Remove experimental handlerSubmission element from the ""org.eclipse.ui.commands"" extension point",P1,normal
[KeyBindings] Bindings stop working (no shell activation event),P1,major
"Command opens dialog, and second key press still thinks workbench window is active",P1,major
Manifest files need to be updated with x-friends tag,P1,normal
[DynamicUI] [Commands] [Contexts] [KeyBindings] Commands architecture isn't dynamic,P1,major
Update copyrights,P1,trivial
[Doc] Some Javadoc missing from ISV Guide,P1,normal
[KeyBindings] registry: 2.1 KeyBinding conversion causes fatal Eclipse crash,P1,major
[Contributions] Every single Java editor is leaked,P1,critical
[KeyBindings] AIOOBE on startup,P1,blocker
[KeyBindings] keybinding service is deactivated but not reactivated when unregister action,P1,major
[G2X] [KeyBindings] interactions: Keys stop working after closing preference page,P1,normal
[Commands] handlers: Failure in testSelectAllHandlerSendsSelectionEvent,P1,major
[Commands] handlers: Debug keybindings not working,P1,major
[WorkingSets] Deadlock on each startup caused by AbstractWorkingSetManager,P1,blocker
[Commands] handlers: Cannot add evaluations to Display or Expressions View,P1,major
[Commands] handlers: action set handlers stop working when two workbench windows open,P1,major
